TestID,Section,QID,Difficulty,Question,A,B,C,D,Correct,Marks,NegativeMarks,IsDeleted,DeletedAt
T2acbd069,Quantitative Aptitude,Q1,Easy,What is 15% of 400?,50,60,70,80,B,1,0,FALSE,
T2acbd069,Quantitative Aptitude,Q2,Medium,A train travels 240 km in 4 hours. What is its speed?,50 km/h,60 km/h,70 km/h,80 km/h,B,1,0,FALSE,
T2acbd069,Quantitative Aptitude,Q3,Hard,A sum becomes ₹1200 in 2 years at 10% simple interest. Find the principal.,1000,1100,900,950,A,1,0,FALSE,
T2acbd069,Logical Reasoning,Q4,Easy,Find the odd one out.,Apple,Mango,Banana,Carrot,D,1,0,FALSE,
T2acbd069,Logical Reasoning,Q5,Medium,If CAT=24 and DOG=26 then BAT=?,21,22,23,24,C,1,0,FALSE,
T2acbd069,Logical Reasoning,Q6,Hard,If SOUTH is coded as 12345 then HOUSE is coded as?,45123,41532,45132,42513,C,1,0,FALSE,
T2acbd069,Verbal Ability,Q7,Easy,Choose the correct spelling.,Accomodation,Acommodation,Accommodation,Accommadation,C,1,0,FALSE,
T2acbd069,Verbal Ability,Q8,Medium,Choose the antonym of Expand.,Increase,Extend,Contract,Grow,C,1,0,FALSE,
T2acbd069,Verbal Ability,Q9,Hard,Choose the correctly punctuated sentence.,Lets eat grandma,Lets eat Grandma,Let's eat grandma,Let's eat Grandma,D,1,0,FALSE,
T2acbd069,Data Interpretation,Q10,Easy,Which month had the highest sales if Jan=100 Feb=120 Mar=150 Apr=130?,January,February,March,April,C,1,0,FALSE,
T2acbd069,Data Interpretation,Q11,Medium,Sales increased from 200 to 260. Percentage increase?,20%,25%,30%,35%,C,1,0,FALSE,
T2acbd069,Computer Fundamentals,Q12,Easy,Which memory is volatile?,ROM,SSD,RAM,HDD,C,1,0,FALSE,
T2acbd069,Computer Fundamentals,Q13,Medium,Which protocol is used for secure web browsing?,HTTP,FTP,HTTPS,SMTP,C,1,0,FALSE,
T2acbd069,Operating Systems,Q14,Medium,Which scheduling algorithm gives minimum average waiting time?,FCFS,Round Robin,SJF,Priority,C,1,0,FALSE,
T2acbd069,Operating Systems,Q15,Hard,A deadlock requires how many Coffman conditions?,2,3,4,5,C,1,0,FALSE,
T2acbd069,DBMS,Q16,Easy,SQL stands for?,Structured Query Language,System Query Language,Standard Query Language,Simple Query Language,A,1,0,FALSE,
T2acbd069,DBMS,Q17,Medium,Which command removes all rows but keeps table structure?,DELETE,DROP,TRUNCATE,REMOVE,C,1,0,FALSE,
T2acbd069,Computer Networks,Q18,Hard,Which OSI layer handles logical addressing?,Physical,Data Link,Network,Transport,C,1,0,FALSE,
T2acbd069,Cyber Security,Q19,Easy,What is phishing?,Network attack,Social engineering attack,Virus,Firewall,B,1,0,FALSE,
T2acbd069,Cyber Security,Q20,Hard,Which encryption uses the same key for encryption and decryption?,RSA,ECC,Symmetric Encryption,Diffie-Hellman,C,1,0,FALSE,
T2acbd069,Python,Q21,Easy,What is the output of len('MeritOn')?,6,7,8,9,B,1,0,FALSE,
T2acbd069,Python,Q22,Medium,Which keyword is used to define a function in Python?,function,define,def,func,C,1,0,FALSE,
T2acbd069,Java,Q23,Easy,Which method is the entry point of a Java program?,start(),run(),main(),init(),C,1,0,FALSE,
T2acbd069,Java,Q24,Hard,Which feature supports runtime polymorphism?,Overloading,Overriding,Encapsulation,Constructor,B,1,0,FALSE,
T2acbd069,C Programming,Q25,Easy,Which header file contains printf()?,math.h,stdio.h,string.h,stdlib.h,B,1,0,FALSE,
T2acbd069,C Programming,Q26,Medium,What is the size of char in C?,1 byte,2 bytes,4 bytes,8 bytes,A,1,0,FALSE,
T2acbd069,Web Technologies,Q27,Easy,Which HTML tag is used to create a hyperlink?,link,a,img,url,B,1,0,FALSE,
T2acbd069,Web Technologies,Q28,Medium,Which CSS property changes text color?,font-color,text-color,color,text,C,1,0,FALSE,
T2acbd069,Software Engineering,Q29,Medium,Which model follows sequential development phases?,Agile,Spiral,V-Model,Waterfall,D,1,0,FALSE,
T2acbd069,Software Engineering,Q30,Hard,Which testing verifies individual program units?,System Testing,Acceptance Testing,Unit Testing,Regression Testing,C,1,0,FALSE,
T44df18c6,Quantitative Aptitude,Q1,Easy,What is 15% of 400?,50,60,70,80,B,1,0,FALSE,
T44df18c6,Quantitative Aptitude,Q2,Medium,A train travels 240 km in 4 hours. What is its speed?,50 km/h,60 km/h,70 km/h,80 km/h,B,1,0,FALSE,
T44df18c6,Quantitative Aptitude,Q3,Hard,A sum becomes ₹1200 in 2 years at 10% simple interest. Find the principal.,1000,1100,900,950,A,1,0,FALSE,
T44df18c6,Logical Reasoning,Q4,Easy,Find the odd one out.,Apple,Mango,Banana,Carrot,D,1,0,FALSE,
T44df18c6,Logical Reasoning,Q5,Medium,If CAT=24 and DOG=26 then BAT=?,21,22,23,24,C,1,0,FALSE,
T44df18c6,Logical Reasoning,Q6,Hard,If SOUTH is coded as 12345 then HOUSE is coded as?,45123,41532,45132,42513,C,1,0,FALSE,
T44df18c6,Verbal Ability,Q7,Easy,Choose the correct spelling.,Accomodation,Acommodation,Accommodation,Accommadation,C,1,0,FALSE,
T44df18c6,Verbal Ability,Q8,Medium,Choose the antonym of Expand.,Increase,Extend,Contract,Grow,C,1,0,FALSE,
T44df18c6,Verbal Ability,Q9,Hard,Choose the correctly punctuated sentence.,Lets eat grandma,Lets eat Grandma,Let's eat grandma,Let's eat Grandma,D,1,0,FALSE,
T44df18c6,Data Interpretation,Q10,Easy,Which month had the highest sales if Jan=100 Feb=120 Mar=150 Apr=130?,January,February,March,April,C,1,0,FALSE,
T44df18c6,Data Interpretation,Q11,Medium,Sales increased from 200 to 260. Percentage increase?,20%,25%,30%,35%,C,1,0,FALSE,
T44df18c6,Computer Fundamentals,Q12,Easy,Which memory is volatile?,ROM,SSD,RAM,HDD,C,1,0,FALSE,
T44df18c6,Computer Fundamentals,Q13,Medium,Which protocol is used for secure web browsing?,HTTP,FTP,HTTPS,SMTP,C,1,0,FALSE,
T44df18c6,Operating Systems,Q14,Medium,Which scheduling algorithm gives minimum average waiting time?,FCFS,Round Robin,SJF,Priority,C,1,0,FALSE,
T44df18c6,Operating Systems,Q15,Hard,A deadlock requires how many Coffman conditions?,2,3,4,5,C,1,0,FALSE,
T44df18c6,DBMS,Q16,Easy,SQL stands for?,Structured Query Language,System Query Language,Standard Query Language,Simple Query Language,A,1,0,FALSE,
T44df18c6,DBMS,Q17,Medium,Which command removes all rows but keeps table structure?,DELETE,DROP,TRUNCATE,REMOVE,C,1,0,FALSE,
T44df18c6,Computer Networks,Q18,Hard,Which OSI layer handles logical addressing?,Physical,Data Link,Network,Transport,C,1,0,FALSE,
T44df18c6,Cyber Security,Q19,Easy,What is phishing?,Network attack,Social engineering attack,Virus,Firewall,B,1,0,FALSE,
T44df18c6,Cyber Security,Q20,Hard,Which encryption uses the same key for encryption and decryption?,RSA,ECC,Symmetric Encryption,Diffie-Hellman,C,1,0,FALSE,
T44df18c6,Python,Q21,Easy,What is the output of len('MeritOn')?,6,7,8,9,B,1,0,FALSE,
T44df18c6,Python,Q22,Medium,Which keyword is used to define a function in Python?,function,define,def,func,C,1,0,FALSE,
T44df18c6,Java,Q23,Easy,Which method is the entry point of a Java program?,start(),run(),main(),init(),C,1,0,FALSE,
T44df18c6,Java,Q24,Hard,Which feature supports runtime polymorphism?,Overloading,Overriding,Encapsulation,Constructor,B,1,0,FALSE,
